,Feature,Coefficient,Abs_Coefficient
505,race_ethnicity_2 or more minority races|Free Form Text Only,-3.49E-06,3.4922978558788873e-06
201,race_ethnicity_2 or more minority races|Hispanic or Latino,-0.00182665,0.00182665
368,race_ethnicity_2 or more minority races|Joint,-0.000293532,0.000293532
186,race_ethnicity_2 or more minority races|Not Hispanic or Latino,-0.002136039,0.002136039
188,race_ethnicity_American Indian or Alaska Native|Ethnicity Not Available,-0.002110135,0.002110135
453,race_ethnicity_American Indian or Alaska Native|Free Form Text Only,-4.26E-05,4.2646254435543955e-05
66,race_ethnicity_American Indian or Alaska Native|Hispanic or Latino,-0.01201407,0.012014070427526134
305,race_ethnicity_American Indian or Alaska Native|Joint,-0.000633376,0.000633376
113,race_ethnicity_American Indian or Alaska Native|Not Hispanic or Latino,-0.004875315,0.004875315
110,race_ethnicity_Asian|Ethnicity Not Available,-0.005117774,0.005117774
329,race_ethnicity_Asian|Free Form Text Only,-0.000513894,0.000513894
141,race_ethnicity_Asian|Hispanic or Latino,-0.003574675,0.003574675
437,race_ethnicity_Asian|Joint,-7.96E-05,7.960599416762962e-05
21,race_ethnicity_Asian|Not Hispanic or Latino,0.059693298,0.059693298
34,race_ethnicity_Black or African American|Ethnicity Not Available,-0.033077512,0.033077511688115104
380,race_ethnicity_Black or African American|Free Form Text Only,-0.000245548,0.000245548
79,race_ethnicity_Black or African American|Hispanic or Latino,-0.008810674,0.008810674
125,race_ethnicity_Black or African American|Joint,-0.004120929,0.004120929
12,race_ethnicity_Black or African American|Not Hispanic or Latino,-0.149995349,0.14999534851606972
497,race_ethnicity_Free Form Text Only|Ethnicity Not Available,6.841694579449786e-06,6.841694579449786e-06
450,race_ethnicity_Free Form Text Only|Free Form Text Only,-4.88E-05,4.877779451855999e-05
364,race_ethnicity_Free Form Text Only|Hispanic or Latino,-0.000312327,0.000312327
472,race_ethnicity_Free Form Text Only|Joint,-1.45E-05,1.4481768100578376e-05
456,race_ethnicity_Free Form Text Only|Not Hispanic or Latino,-3.98E-05,3.976343976007313e-05
224,race_ethnicity_Joint|Ethnicity Not Available,-0.001423667,0.001423667
466,race_ethnicity_Joint|Free Form Text Only,-2.03E-05,2.0292798355470784e-05
160,race_ethnicity_Joint|Hispanic or Latino,-0.002961555,0.002961555
172,race_ethnicity_Joint|Joint,0.002561762,0.002561762
43,race_ethnicity_Joint|Not Hispanic or Latino,0.021278108009575913,0.021278108009575913
309,race_ethnicity_Native Hawaiian or Other Pacific Islander|Ethnicity Not Available,-0.000626238,0.000626238
471,race_ethnicity_Native Hawaiian or Other Pacific Islander|Free Form Text Only,-1.67E-05,1.6661269977617985e-05
178,race_ethnicity_Native Hawaiian or Other Pacific Islander|Hispanic or Latino,-0.002414786,0.002414786
402,race_ethnicity_Native Hawaiian or Other Pacific Islander|Joint,-0.000146033,0.000146033
310,race_ethnicity_Native Hawaiian or Other Pacific Islander|Not Hispanic or Latino,-0.000616287,0.000616287
20,race_ethnicity_Race Not Available|Ethnicity Not Available,0.076906497,0.076906497
410,race_ethnicity_Race Not Available|Free Form Text Only,0.000132998,0.000132998
5,race_ethnicity_Race Not Available|Hispanic or Latino,-0.274509997,0.274509997
96,race_ethnicity_Race Not Available|Joint,-0.006752428,0.006752428
61,race_ethnicity_Race Not Available|Not Hispanic or Latino,-0.013381019,0.013381019024736634
24,race_ethnicity_White|Ethnicity Not Available,-0.052844546,0.052844546
346,race_ethnicity_White|Free Form Text Only,0.000380071,0.000380071
14,race_ethnicity_White|Hispanic or Latino,-0.134332737,0.1343327371495219
41,race_ethnicity_White|Joint,0.023623534405949786,0.023623534405949786
3,race_ethnicity_White|Not Hispanic or Latino,0.37379930359088986,0.37379930359088986
23,state_code_NY,0.053500738,0.053500738
1,state_code_TX,-0.448947894,0.44894789370246396
10,state_code_WA,0.16889196803472528,0.16889196803472528
